"ss_presented","inhibited","ssd","rt"
0,-999,-999,402
0,-999,-999,482
0,-999,-999,369
0,-999,-999,492
0,-999,-999,348
0,-999,-999,331
0,-999,-999,442
0,-999,-999,547
0,-999,-999,530
0,-999,-999,405
0,-999,-999,516
0,-999,-999,515
0,-999,-999,462
0,-999,-999,534
0,-999,-999,437
0,-999,-999,559
0,-999,-999,558
0,-999,-999,529
0,-999,-999,479
0,-999,-999,479
0,-999,-999,458
0,-999,-999,521
0,-999,-999,472
0,-999,-999,497
0,-999,-999,497
0,-999,-999,512
0,-999,-999,408
0,-999,-999,451
0,-999,-999,577
0,-999,-999,593
0,-999,-999,460
0,-999,-999,531
0,-999,-999,588
0,-999,-999,586
0,-999,-999,453
0,-999,-999,398
0,-999,-999,525
0,-999,-999,540
0,-999,-999,375
0,-999,-999,391
0,-999,-999,390
0,-999,-999,356
0,-999,-999,559
0,-999,-999,621
0,-999,-999,413
0,-999,-999,488
0,-999,-999,752
0,-999,-999,537
0,-999,-999,489
0,-999,-999,737
0,-999,-999,426
0,-999,-999,489
0,-999,-999,440
0,-999,-999,434
0,-999,-999,571
0,-999,-999,490
0,-999,-999,531
0,-999,-999,557
0,-999,-999,572
0,-999,-999,709
0,-999,-999,515
0,-999,-999,494
0,-999,-999,567
0,-999,-999,405
0,-999,-999,463
0,-999,-999,600
0,-999,-999,504
0,-999,-999,438
0,-999,-999,486
0,-999,-999,511
0,-999,-999,570
0,-999,-999,625
0,-999,-999,544
0,-999,-999,479
0,-999,-999,522
0,-999,-999,458
0,-999,-999,504
0,-999,-999,451
0,-999,-999,562
0,-999,-999,513
0,-999,-999,652
0,-999,-999,555
0,-999,-999,555
1,1,50,-999
1,1,50,-999
1,0,100,309
1,0,100,271
1,1,100,-999
1,1,100,-999
1,1,100,-999
1,1,100,-999
1,1,100,-999
1,1,100,-999
1,1,100,-999
1,0,150,442
1,0,150,326
1,0,150,313
1,0,150,338
1,0,150,324
1,0,150,369
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,1,150,-999
1,0,200,338
1,0,200,447
1,0,200,444
1,0,200,396
1,0,200,426
1,0,200,304
1,0,200,412
1,0,200,420
1,0,200,347
1,0,200,426
1,0,200,401
1,0,200,374
1,0,200,372
1,0,200,386
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,1,200,-999
1,0,250,418
1,0,250,476
1,0,250,422
1,0,250,369
1,0,250,431
1,0,250,383
1,0,250,576
1,0,250,374
1,0,250,365
1,0,250,475
1,0,250,397
1,0,250,377
1,0,250,483
1,0,250,429
1,0,250,575
1,0,250,420
1,0,250,380
1,0,250,455
1,0,250,471
1,0,250,350
1,0,250,402
1,0,250,418
1,0,250,485
1,0,250,428
1,0,250,336
1,0,250,364
1,0,250,425
1,0,250,453
1,0,250,397
1,0,250,447
1,0,250,438
1,0,250,419
1,0,250,418
1,0,250,391
1,0,250,350
1,0,250,458
1,0,250,468
1,0,250,503
1,0,250,416
1,0,250,435
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,1,250,-999
1,0,300,483
1,0,300,344
1,0,300,434
1,0,300,482
1,0,300,453
1,0,300,552
1,0,300,464
1,0,300,578
1,0,300,460
1,0,300,524
1,0,300,406
1,0,300,398
1,0,300,440
1,0,300,459
1,0,300,439
1,0,300,452
1,0,300,462
1,0,300,421
1,0,300,524
1,0,300,437
1,0,300,447
1,0,300,463
1,0,300,465
1,0,300,403
1,0,300,479
1,0,300,486
1,0,300,436
1,0,300,516
1,0,300,409
1,0,300,490
1,0,300,437
1,0,300,438
1,0,300,438
1,0,300,493
1,0,300,377
1,0,300,468
1,0,300,357
1,0,300,382
1,0,300,520
1,0,300,546
1,0,300,523
1,0,300,392
1,0,300,516
1,0,300,445
1,0,300,558
1,0,300,497
1,0,300,393
1,0,300,407
1,0,300,513
1,0,300,377
1,0,300,545
1,0,300,381
1,0,300,536
1,0,300,412
1,0,300,553
1,0,300,429
1,0,300,405
1,0,300,440
1,0,300,401
1,0,300,482
1,0,300,492
1,0,300,438
1,0,300,560
1,0,300,551
1,0,300,416
1,0,300,549
1,0,300,461
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,1,300,-999
1,0,350,342
1,0,350,361
1,0,350,471
1,0,350,375
1,0,350,413
1,0,350,454
1,0,350,486
1,0,350,529
1,0,350,397
1,0,350,507
1,0,350,472
1,0,350,455
1,0,350,430
1,0,350,490
1,0,350,522
1,0,350,507
1,0,350,585
1,0,350,501
1,0,350,495
1,0,350,345
1,0,350,515
1,0,350,509
1,0,350,337
1,0,350,439
1,0,350,442
1,0,350,518
1,0,350,616
1,0,350,442
1,0,350,494
1,0,350,379
1,0,350,505
1,0,350,348
1,0,350,602
1,0,350,342
1,0,350,476
1,0,350,525
1,0,350,431
1,0,350,441
1,0,350,510
1,0,350,545
1,0,350,343
1,0,350,626
1,0,350,585
1,0,350,346
1,0,350,434
1,0,350,485
1,0,350,500
1,0,350,502
